ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored
1011,Ibrehem Rahman,27,Male,AL,Palau,11,18,4,0.5,1,1,20,10,0
1010,Bobby Jon Drinkard,27,Male,CA,Palau,10,21,2,0.55,1,2,20,10,1
1009,Coby Archa,32,Male,TX,Palau,9,24,7,0.6,1,1,20,10,0
1008,Janu Tornell,39,Female,NV,Palau,8,27,1,0.65,1,1,20,10,1
1007,Stephenie LaGrossa,24,Female,NJ,Palau,7,30,8,0.7,1,3,20,10,0
1006,Gregg Carey,27,Male,IL,Palau,6,33,4,0.75,1,1,20,10,0
1005,Caryn Groedel,46,Female,OH,Palau,5,36,7,0.8,1,1,20,10,0
1004,Jenn Lyon,32,Female,CA,Palau,4,37,3,0.85,1,1,20,10,0
1003,Ian Rosenberger,23,Male,PA,Palau,3,38,5,0.9,1,1,20,10,0
1002,Katie Gallagher,29,Female,CA,Palau,2,39,1,0.95,1,1,20,10,1
1001,Tom Westman,40,Male,NY,Palau,1,39,0,1.0,1,2,20,10,1
1118,Jim Lynch,63,Male,CO,Guatemala,18,3,8,0.05555555555555558,1,1,18,11,0
1117,Morgan McDevitt,21,Female,IL,Guatemala,17,6,8,0.11111111111111116,1,1,18,11,0
1116,Brianna Varela,21,Female,WA,Guatemala,16,8,7,0.16666666666666663,1,1,18,11,0
1115,Brooke Struck,25,Female,OR,Guatemala,15,11,5,0.2222222222222222,1,1,18,11,0
1114,Blake Towsley,24,Male,TX,Guatemala,14,14,5,0.2777777777777778,1,1,18,11,0
1113,Margaret Bobonich,43,Female,OH,Guatemala,13,15,7,0.33333333333333337,1,1,18,11,0
1112,Brian Corridan,22,Male,NY,Guatemala,12,15,7,0.38888888888888884,1,1,18,11,0
1111,Amy O'Hara,39,Female,MA,Guatemala,11,18,4,0.4444444444444444,1,1,18,11,0
1110,Brandon Bellinger,22,Male,KS,Guatemala,10,21,6,0.5,1,1,18,11,0
1109,Bobby Jon Drinkard,28,Male,CA,Guatemala,9,24,8,0.5555555555555556,2,2,18,11,0
1108,Jamie Newton,24,Male,CA,Guatemala,8,27,10,0.6111111111111112,1,1,18,11,0
1107,Gary Hogeboom,46,Male,MI,Guatemala,7,30,8,0.6666666666666667,1,1,18,11,0
1106,Judd Sergeant,34,Male,NJ,Guatemala,6,33,5,0.7222222222222222,1,1,18,11,0
1105,Cindy Hall,31,Female,FL,Guatemala,5,36,6,0.7777777777777778,1,1,18,11,0
1104,Lydia Morales,42,Female,WA,Guatemala,4,37,10,0.8333333333333334,1,1,18,11,0
1103,Rafe Judkins,22,Male,PA,Guatemala,3,38,2,0.8888888888888888,1,1,18,11,0
1102,Stephenie LaGrossa,25,Female,NJ,Guatemala,2,39,2,0.9444444444444444,2,3,18,11,1
1101,Danni Boatwright,30,Female,KS,Guatemala,1,39,1,1.0,1,1,18,11,1
1216,Tina Scheer,44,Female,WI,Panama,16,3,3,0.0625,1,1,16,12,0
1215,Melinda Hyder,32,Female,TN,Panama,15,6,5,0.125,1,1,16,12,0
1214,Misty Giles,24,Female,TX,Panama,14,8,5,0.1875,1,1,16,12,0
1213,Ruth-Marie Milliman,48,Female,SC,Panama,13,11,6,0.25,1,1,16,12,0
1212,Bobby Mason,32,Male,CA,Panama,12,14,3,0.3125,1,1,16,12,0
1211,Dan Barry,51,Male,MA,Panama,11,15,3,0.375,1,1,16,12,0
1210,Nick Stanbury,25,Male,AZ,Panama,10,18,6,0.4375,1,1,16,12,0
1209,Austin Carty,24,Male,NC,Panama,9,21,7,0.5,1,1,16,12,0
1208,Sally Schumann,27,Female,IL,Panama,8,24,8,0.5625,1,1,16,12,0
1207,Bruce Kanegai,57,Male,CA,Panama,7,25,2,0.625,1,1,16,12,1
