ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv,Alliance_Score,prev_ids,new_id,seasons_played,FTC
0312,Silas Gaither,23.0,Male,CA,Africa,12.0,15.0,8.0,0.3125,1.0,1,16.0,3.0,0,0.7,1.37,0.51,2.0,8.0,21.0,3.0,0.54,1.56,,,,1.05,2.26,-1.0,,,,0
0313,Linda Spencer,44.0,Female,MA,Africa,13.0,12.0,4.0,0.25,1.0,1,16.0,3.0,0,0.27,1.04,0.26,0.0,4.0,15.0,2.0,-0.13,0.0,,,,0.13,0.27,-1.0,,,,0
0314,Carl Bilancione,46.0,Male,FL,Africa,14.0,9.0,7.0,0.1875,1.0,1,16.0,3.0,0,0.39,0.73,0.54,0.0,4.0,8.0,1.0,-0.5,0.0,,,,0.04,0.39,-1.0,,,,0
0315,Jessie Camacho,27.0,Female,FL,Africa,15.0,6.0,5.0,0.125,1.0,1,16.0,3.0,0,0.0,0.39,0.0,1.0,6.0,16.0,2.0,0.31,1.4,,,,0.31,1.4,-1.0,,,,0
0316,Diane Ogden,42.0,Female,NE,Africa,16.0,3.0,6.0,0.0625,1.0,1,16.0,3.0,0,0.0,0.13,0.0,0.0,6.0,8.0,1.0,-0.75,0.0,,,,-0.75,0.0,-1.0,,,,0
0401,Vecepia Towery,36.0,Female,CA,Marquesas,1.0,39.0,2.0,1.0,1.0,1,16.0,4.0,1,2.45,15.35,0.16,9.0,2.0,81.0,12.0,0.75,3.5,4.0,7.0,0.57,1.48,9.38,0.6866071428571429,,,,1
0402,Neleh Dennis,21.0,Female,UT,Marquesas,2.0,39.0,4.0,0.9375,1.0,1,16.0,4.0,1,2.34,15.33,0.15,9.0,4.0,61.0,10.0,0.89,3.15,3.0,7.0,0.43,1.47,8.06,0.6764550264550264,,,,1
0404,Paschal English,56.0,Female,GA,Marquesas,4.0,37.0,0.0,0.8125,1.0,1,16.0,4.0,1,5.51,15.33,0.36,7.0,5.0,61.0,10.0,0.69,2.18,,,,1.05,7.69,0.6764550264550264,,,,0
0404,Paschal English,56.0,Female,GA,Marquesas,4.0,37.0,0.0,0.8125,1.0,1,16.0,4.0,1,5.51,15.33,0.36,7.0,5.0,61.0,10.0,0.69,2.18,,,,1.05,7.69,0.5644179894179894,,,,0
0404,Paschal English,56.0,Female,GA,Marquesas,4.0,37.0,0.0,0.8125,1.0,1,16.0,4.0,1,2.84,14.33,0.2,8.0,0.0,58.0,9.0,0.89,6.22,,,,1.09,9.07,0.6764550264550264,,,,0
